Stn_Name,Lat,Long,Yr,Depth
CTD184,63.26679167,-83.68598333,2019,92.6
CTD185,63.31941667,-83.54556667,2019,109
CTD186 ,63.3745,-83.396575,2019,110
CTD187,63.40539167,-92.45548333,2019,107
CTD188,63.42801667,-83.24974167,2019,110
CTD189,63.53579167,-83.209025,2019,97.3
CTD190,63.61568333,-83.22486667,2019,81.4
CTD191,63.70125833,-83.24424167,2019,70.5
CTD192,63.7862,-83.257925,2019,55.9
CTD193,63.82265,-83.26919167,2019,51.7
CTD194,63.86653333,-83.277625,2019,48.4
CTD195,63.94980833,-83.29096667,2019,32.2
CTD196,64.032425,-83.30163333,2019,31.8
CTD197,64.0632,-83.25638333,2019,29.1
CTD198,64.0878,-83.197625,2019,20
CTD199,64.13094167,-83.1452,2019,8.3
